City,Category,POI,Description,Country
Cairo,sleep,Le Passage,was Iberotel,Egypt
Cairo,see,Egyptian Museum,"Located in the Midan Tahrir area and officially named Museum of Egyptian Antiquities but known by all as the Egyptian Museum, it hosts the world's premier collection of ancient Egyptian artifacts.",Egypt
Cairo,see,Ibn Tulun,"Arguably the oldest mosque in Cairo, built between 868-884.",Egypt
Cairo,see,Al-Azhar Park,A recently opened landscaped gardens overlooking the Citadel,Egypt
Cairo,see,Khan El Khalily,"Cairo's souk area where visitors will find many merchants selling perfume, spices, Gold, Egyptian hand craft.",Egypt
Cairo,see,Abdeen Palace,"Located about one Kilometer away from the Midan El-Tahrir a five minutes walk, home of the last king of Egypt the exiled king Farouk.",Egypt
Cairo,see,Pharaonic Village,It is about twenty minutes driving from Downtown.,Egypt
Cairo,do,The Culture Wheel,"The largest independent cultural centre in Cairo, offers concerts almost every night.",Egypt
Cairo,do,The Garden Theater,In Al-Azhar Park offers a range of musical performances. The venue is also a great place for an evening stroll.,Egypt
Cairo,do,Cairo Opera House,It hosted the Cairo International Film Festival in 2012 and screened some international films with very cheap subsidized ticket prices.,Egypt
Cairo,do,Cairo Jazz Club,"Live entertainment from local and international musicians, a great food and beverage menu (happy hour from 7-9PM) and a relaxed atmosphere. 7 nights a week.",Egypt
Cairo,see,Mohammed Mahmoud Khalil Museum,"Art gallery, located in what was once Khalil's palace",Egypt
Cairo,do,Cairo Jazz Club,Dancing and live music,Egypt
Cairo,do,Tahrir Cinema,Movie theater,Egypt
Cairo,buy,Best Buy - Apple Center,"Not the same as Best Buy in the United States, but this is a good place to go Apple products, as well as service and technical support.",Egypt
Cairo,buy,Bashayer,"ceramics, jewelry, carpets, and a variety of other Egyptian-made items.",Egypt
Cairo,buy,Om El Saad,Small shop with quality hand-made jewelry.,Egypt
Cairo,eat,Al Omda,"Take away place that serves sandwiches, kofta, foul, koshari, fateer, etc.",Egypt
Cairo,eat,Gad,"Serves foul, falafel, fateer, and other fast food.",Egypt
Cairo,eat,Chocofolie,"Delicious hot cocoa, desserts, milkshakes, as well as some non-chocolate menu items such as omelets and salads",Egypt
Cairo,eat,Cilantro's,"Serves sandwiches, coffee, desserts. Orange WiFi",Egypt
Cairo,eat,McDonald's,Standard fast food,Egypt
Cairo,eat,Radwan,"Kebabs, chicken, pasta, vegetables, etc.",Egypt
Cairo,eat,Teriyaki,"Teriyaki meals, with chicken, shrimp, beef, or tofu, with vegetables, served with rice or noodles.",Egypt
Cairo,eat,Abou el-Sid,"Serves stuffed pigeon, veal, chicken, falafel, fateer, and other Egyptian cuisine.",Egypt
